"";"Taxa";"BL";"FR";"BD";"MO";"AM";"LS";"OT";"OS";"CS";"id";"name";"AphiaID";"url";"scientificname";"authority";"status";"unacceptreason";"taxonRankID";"rank";"valid_AphiaID";"valid_name";"valid_authority";"parentNameUsageID";"kingdom";"phylum";"class";"order";"family";"genus";"citation";"lsid";"isMarine";"isBrackish";"isFreshwater";"isTerrestrial";"isExtinct";"match_type";"modified";"Kingdom";"Phylum";"Subphylum";"Superclass";"Class";"Subclass";"Superorder";"Order";"Suborder";"Infraorder";"Parvorder";"Superfamily";"Family";"Genus";"Species";"Infraclass";"Subterclass";"Subfamily";"Tribe";"Section";"Subsection";"Subgenus";"Subspecies"
"202";"Macropipus tuberculatus";5;1;3;1;2;2;2;1;2;202;"Macropipus tuberculatus";107397;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107397";"Macropipus tuberculatus";"(P. Roux, 1830 [in P. Roux, 1828-1830])";"accepted";NA;220;"Species";107397;"Macropipus tuberculatus";"(P. Roux, 1830 [in P. Roux, 1828-1830])";106926;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Polybiidae";"Macropipus";"WoRMS (2021). Macropipus tuberculatus (P. Roux, 1830 [in P. Roux, 1828-1830]). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107397 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107397";1;NA;NA;NA;NA;"exact";"2019-08-09T12:09:08.157Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Portunoidea";"Polybiidae";"Macropipus";"Macropipus tuberculatus";NA;NA;NA;NA;"Eubrachyura";"Heterotremata";NA;NA
"203";"Macropodia";3;3;4;2;2;2;2;2;2;203;"Macropodia";205077;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=205077";"Macropodia";"Leach, 1814 [in Leach, 1813-1815]";"accepted";NA;180;"Genus";205077;"Macropodia";"Leach, 1814 [in Leach, 1813-1815]";148436;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Inachidae";"Macropodia";"WoRMS (2021). Macropodia Leach, 1814 [in Leach, 1813-1815]. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=205077 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:205077";1;NA;NA;NA;NA;"exact";"2020-05-22T11:43:31.773Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Majoidea";"Inachidae";"Macropodia";NA;NA;NA;"Inachinae";NA;"Eubrachyura";"Heterotremata";NA;NA
"204";"Macropodia linaresi";3;3;4;2;2;2;2;2;2;204;"Macropodia linaresi";107341;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107341";"Macropodia linaresi";"Forest & Zariquiey A´lvarez, 1964";"accepted";NA;220;"Species";107341;"Macropodia linaresi";"Forest & Zariquiey A´lvarez, 1964";205077;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Inachidae";"Macropodia";"WoRMS (2021). Macropodia linaresi Forest & Zariquiey A´lvarez, 1964. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107341 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107341";1;NA;NA;NA;NA;"exact";"2019-09-28T06:24:05.987Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Majoidea";"Inachidae";"Macropodia";"Macropodia linaresi";NA;NA;"Inachinae";NA;"Eubrachyura";"Heterotremata";NA;NA
"205";"Macropodia rostrata";3;3;4;2;2;2;2;2;2;205;"Macropodia rostrata";107345;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107345";"Macropodia rostrata";"(Linnaeus, 1761)";"accepted";NA;220;"Species";107345;"Macropodia rostrata";"(Linnaeus, 1761)";205077;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Inachidae";"Macropodia";"WoRMS (2021). Macropodia rostrata (Linnaeus, 1761). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107345 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107345";1;NA;NA;NA;NA;"exact";"2010-02-25T15:57:43.060Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Majoidea";"Inachidae";"Macropodia";"Macropodia rostrata";NA;NA;"Inachinae";NA;"Eubrachyura";"Heterotremata";NA;NA
"206";"Macropodia tenuirostris";3;3;4;2;2;2;2;2;2;206;"Macropodia tenuirostris";107346;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107346";"Macropodia tenuirostris";"(Leach, 1814 [in Leach, 1813-1815])";"accepted";NA;220;"Species";107346;"Macropodia tenuirostris";"(Leach, 1814 [in Leach, 1813-1815])";205077;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Inachidae";"Macropodia";"WoRMS (2021). Macropodia tenuirostris (Leach, 1814 [in Leach, 1813-1815]). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107346 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107346";1;NA;NA;NA;0;"exact";"2020-05-22T11:43:31.773Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Majoidea";"Inachidae";"Macropodia";"Macropodia tenuirostris";NA;NA;"Inachinae";NA;"Eubrachyura";"Heterotremata";NA;NA
"207";"Mactra stultorum";3;3;2;2;2;3;3;4;1,2;207;"Mactra stultorum";140299;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=140299";"Mactra stultorum";"(Linnaeus, 1758)";"accepted";NA;220;"Species";140299;"Mactra stultorum";"(Linnaeus, 1758)";138158;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Mactridae";"Mactra";"MolluscaBase eds. (2021). MolluscaBase. Mactra stultorum (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140299 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:140299";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Venerida";NA;NA;NA;"Mactroidea";"Mactridae";"Mactra";"Mactra stultorum";"Heteroconchia";"Euheterodonta";"Mactrinae";NA;NA;NA;NA;NA
"208";"Magelona filiformis";3;3;2;2;1;2;3;3;1;208;"Magelona filiformis";130268;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=130268";"Magelona filiformis";"Wilson, 1959";"accepted";NA;220;"Species";130268;"Magelona filiformis";"Wilson, 1959";129341;"Animalia";"Annelida";"Polychaeta";NA;"Magelonidae";"Magelona";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Magelona filiformis Wilson, 1959. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=130268 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:130268";1;0;0;0;0;"exact";"2008-03-26T11:36:43.420Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Polychaeta incertae sedis";NA;NA;NA;NA;NA;NA;"Magelonidae";"Magelona";"Magelona filiformis";NA;NA;NA;NA;NA;NA;NA;NA
"209";"Magelona johnstoni";3;3;2;2;1;2;3;3;1;209;"Magelona johnstoni";130269;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=130269";"Magelona johnstoni";"Fiege, Licher & Mackie, 2000";"accepted";NA;220;"Species";130269;"Magelona johnstoni";"Fiege, Licher & Mackie, 2000";129341;"Animalia";"Annelida";"Polychaeta";NA;"Magelonidae";"Magelona";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Magelona johnstoni Fiege, Licher & Mackie, 2000. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=130269 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:130269";1;0;0;0;0;"exact";"2008-03-26T11:36:43.420Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Polychaeta incertae sedis";NA;NA;NA;NA;NA;NA;"Magelonidae";"Magelona";"Magelona johnstoni";NA;NA;NA;NA;NA;NA;NA;NA
"210";"Magelona mirabilis";3;3;2;2;1;2;3;3;1;210;"Magelona mirabilis";130271;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=130271";"Magelona mirabilis";"(Johnston, 1865)";"accepted";NA;220;"Species";130271;"Magelona mirabilis";"(Johnston, 1865)";129341;"Animalia";"Annelida";"Polychaeta";NA;"Magelonidae";"Magelona";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Magelona mirabilis (Johnston, 1865). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=130271 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:130271";1;0;0;0;0;"exact";"2008-03-26T11:36:43.420Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Polychaeta incertae sedis";NA;NA;NA;NA;NA;NA;"Magelonidae";"Magelona";"Magelona mirabilis";NA;NA;NA;NA;NA;NA;NA;NA
"211";"Magelona papillicornis";4;3;2;2;2;2;3;3;1;211;"Magelona papillicornis";130272;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=130272";"Magelona papillicornis";"F. Müller, 1858";"accepted";NA;220;"Species";130272;"Magelona papillicornis";"F. Müller, 1858";129341;"Animalia";"Annelida";"Polychaeta";NA;"Magelonidae";"Magelona";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Magelona papillicornis F. Müller, 1858. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=130272 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:130272";1;NA;NA;NA;NA;"exact";"2007-01-29T13:03:46.910Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Polychaeta incertae sedis";NA;NA;NA;NA;NA;NA;"Magelonidae";"Magelona";"Magelona papillicornis";NA;NA;NA;NA;NA;NA;NA;NA
"212";"Maja brachydactyla";5;1;4;2;2;3;2;1;2;212;"Maja brachydactyla";107347;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107347";"Maja brachydactyla";"Balss, 1922";"accepted";NA;220;"Species";107347;"Maja brachydactyla";"Balss, 1922";106909;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Majidae";"Maja";"WoRMS (2021). Maja brachydactyla Balss, 1922. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107347 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107347";1;NA;NA;NA;0;"exact";"2020-06-25T10:44:55.427Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Majoidea";"Majidae";"Maja";"Maja brachydactyla";NA;NA;"Majinae";NA;"Eubrachyura";"Heterotremata";NA;NA
"213";"Maja squinado";5;1;4;2;2;3;2;1;2;213;"Maja squinado";107350;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107350";"Maja squinado";"(Herbst, 1788)";"accepted";NA;220;"Species";107350;"Maja squinado";"(Herbst, 1788)";106909;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Majidae";"Maja";"WoRMS (2021). Maja squinado (Herbst, 1788). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107350 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107350";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Majoidea";"Majidae";"Maja";"Maja squinado";NA;NA;"Majinae";NA;"Eubrachyura";"Heterotremata";NA;NA
"214";"Malacoceros fuliginosus";3;3;3;1;2;2;3;3;1;214;"Malacoceros fuliginosus";131131;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=131131";"Malacoceros fuliginosus";"(Claparède, 1868)";"accepted";NA;220;"Species";131131;"Malacoceros fuliginosus";"(Claparède, 1868)";129614;"Animalia";"Annelida";"Polychaeta";"Spionida";"Spionidae";"Malacoceros";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Malacoceros fuliginosus (Claparède, 1868). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=131131 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:131131";1;0;0;0;0;"exact";"2018-08-22T12:17:12.710Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Sedentaria";NA;"Spionida";"Spioniformia";NA;NA;NA;"Spionidae";"Malacoceros";"Malacoceros fuliginosus";"Canalipalpata";NA;NA;NA;NA;NA;NA;NA
"215";"Malmgrenia lunulata";3;2;2;2;2;3;3;4;1;215;"Malmgrenia lunulata";155194;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=155194";"Malmgrenia lunulata";"(Delle Chiaje, 1830)";"accepted";NA;220;"Species";155194;"Malmgrenia lunulata";"(Delle Chiaje, 1830)";147006;"Animalia";"Annelida";"Polychaeta";"Phyllodocida";"Polynoidae";"Malmgrenia";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Malmgrenia lunulata (Delle Chiaje, 1830). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=155194 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:155194";1;0;0;0;0;"exact";"2015-11-12T00:53:21.287Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Errantia";NA;"Phyllodocida";"Aphroditiformia";NA;NA;NA;"Polynoidae";"Malmgrenia";"Malmgrenia lunulata";NA;NA;"Polynoinae";NA;NA;NA;NA;NA
"216";"Marthasterias glacialis";5;2;4;2;2;3;3;3;2;216;"Marthasterias glacialis";123803;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=123803";"Marthasterias glacialis";"(Linnaeus, 1758)";"accepted";NA;220;"Species";123803;"Marthasterias glacialis";"(Linnaeus, 1758)";123224;"Animalia";"Echinodermata";"Asteroidea";"Forcipulatida";"Asteriidae";"Marthasterias";"Mah, C.L. (2021). World Asteroidea Database. Marthasterias glacialis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=123803 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:123803";1;0;0;0;0;"exact";"2008-12-29T02:59:07.060Z";"Animalia";"Echinodermata";"Asterozoa";NA;"Asteroidea";NA;"Forcipulatacea";"Forcipulatida";NA;NA;NA;NA;"Asteriidae";"Marthasterias";"Marthasterias glacialis";NA;NA;NA;NA;NA;NA;NA;NA
"217";"Mediomastus fragilis";3;3;3;3;1;2;3;3;1;217;"Mediomastus fragilis";129892;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=129892";"Mediomastus fragilis";"Rasmussen, 1973";"accepted";NA;220;"Species";129892;"Mediomastus fragilis";"Rasmussen, 1973";129218;"Animalia";"Annelida";"Polychaeta";NA;"Capitellidae";"Mediomastus";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Mediomastus fragilis Rasmussen, 1973. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=129892 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:129892";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Sedentaria";NA;NA;NA;NA;NA;NA;"Capitellidae";"Mediomastus";"Mediomastus fragilis";"Scolecida";NA;NA;NA;NA;NA;NA;NA
"218";"Megaluropus agilis";1;2;3;1;1;1;1;3;1;218;"Megaluropus agilis";102783;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=102783";"Megaluropus agilis";"Hoek, 1889";"accepted";NA;220;"Species";102783;"Megaluropus agilis";"Hoek, 1889";101664;"Animalia";"Arthropoda";"Malacostraca";"Amphipoda";"Megaluropidae";"Megaluropus";"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Megaluropus agilis Hoek, 1889. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102783 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:102783";1;0;0;0;NA;"exact";"2016-10-18T17:32:48.877Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Amphipoda";"Senticaudata";"Hadziida";"Hadziidira";"Calliopioidea";"Megaluropidae";"Megaluropus";"Megaluropus agilis";NA;NA;NA;NA;NA;NA;NA;NA
"219";"Mesopodopsis slabberi";2;2;4;1;1;1;1;1;1;219;"Mesopodopsis slabberi";120072;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=120072";"Mesopodopsis slabberi";"(Van Beneden, 1861)";"accepted";NA;220;"Species";120072;"Mesopodopsis slabberi";"(Van Beneden, 1861)";119876;"Animalia";"Arthropoda";"Malacostraca";"Mysida";"Mysidae";"Mesopodopsis";"Mees, J.; Meland, K. (Eds) (2012 onwards). World List of Lophogastrida, Stygiomysida and Mysida. Mesopodopsis slabberi (Van Beneden, 1861). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=120072 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:120072";1;1;NA;0;NA;"exact";"2009-11-24T08:02:51.343Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Mysida";NA;NA;NA;NA;"Mysidae";"Mesopodopsis";"Mesopodopsis slabberi";NA;NA;"Mysinae";"Mysini";NA;NA;NA;NA
"220";"Mimachlamys";3;2;4;4;2;3;3;4;1;220;"Mimachlamys";236718;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=236718";"Mimachlamys";"Iredale, 1929";"accepted";NA;180;"Genus";236718;"Mimachlamys";"Iredale, 1929";393722;"Animalia";"Mollusca";"Bivalvia";"Pectinida";"Pectinidae";"Mimachlamys";"MolluscaBase eds. (2021). MolluscaBase. Mimachlamys Iredale, 1929. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=236718 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:236718";1;NA;NA;NA;NA;"exact";"2018-05-26T05:44:41.593Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";NA;"Pectinida";NA;NA;NA;"Pectinoidea";"Pectinidae";"Mimachlamys";NA;"Pteriomorphia";NA;"Pedinae";"Mimachlamydini";NA;NA;NA;NA
"221";"Mimachlamys varia";3;2;4;4;2;3;3;4;2;221;"Mimachlamys varia";236719;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=236719";"Mimachlamys varia";"(Linnaeus, 1758)";"accepted";NA;220;"Species";236719;"Mimachlamys varia";"(Linnaeus, 1758)";236718;"Animalia";"Mollusca";"Bivalvia";"Pectinida";"Pectinidae";"Mimachlamys";"MolluscaBase eds. (2021). MolluscaBase. Mimachlamys varia (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=236719 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:236719";1;NA;0;0;0;"exact";"2010-03-17T11:53:26.233Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";NA;"Pectinida";NA;NA;NA;"Pectinoidea";"Pectinidae";"Mimachlamys";"Mimachlamys varia";"Pteriomorphia";NA;"Pedinae";"Mimachlamydini";NA;NA;NA;NA
"222";"Modiolus";4;1;4;4;3;4;3;4;1;222;"Modiolus";138223;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=138223";"Modiolus";"Lamarck, 1799";"accepted";NA;180;"Genus";138223;"Modiolus";"Lamarck, 1799";510724;"Animalia";"Mollusca";"Bivalvia";"Mytilida";"Mytilidae";"Modiolus";"MolluscaBase eds. (2021). MolluscaBase. Modiolus Lamarck, 1799. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138223 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:138223";1;1;NA;NA;NA;"exact";"2019-07-31T03:29:30.590Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";NA;"Mytilida";NA;NA;NA;"Mytiloidea";"Mytilidae";"Modiolus";NA;"Pteriomorphia";NA;"Modiolinae";NA;NA;NA;NA;NA
"223";"Modiolus barbatus";3;1;4;4;3;4;3;4;2;223;"Modiolus barbatus";140464;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=140464";"Modiolus barbatus";"(Linnaeus, 1758)";"accepted";NA;220;"Species";140464;"Modiolus barbatus";"(Linnaeus, 1758)";138223;"Animalia";"Mollusca";"Bivalvia";"Mytilida";"Mytilidae";"Modiolus";"MolluscaBase eds. (2021). MolluscaBase. Modiolus barbatus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140464 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:140464";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";NA;"Mytilida";NA;NA;NA;"Mytiloidea";"Mytilidae";"Modiolus";"Modiolus barbatus";"Pteriomorphia";NA;"Modiolinae";NA;NA;NA;NA;NA
"224";"Munida intermedia";4;1;2;2;2;3;2;2;2;224;"Munida intermedia";107157;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107157";"Munida intermedia";"A. Milne-Edwards & Bouvier, 1899";"accepted";NA;220;"Species";107157;"Munida intermedia";"A. Milne-Edwards & Bouvier, 1899";106835;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Munididae";"Munida";"WoRMS (2021). Munida intermedia A. Milne-Edwards & Bouvier, 1899. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107157 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107157";1;NA;NA;NA;NA;"exact";"2020-05-10T08:40:48.023Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Anomura";NA;"Galatheoidea";"Munididae";"Munida";"Munida intermedia";NA;NA;NA;NA;NA;NA;NA;NA
"225";"Munida rugosa";4;1;2;2;2;3;2;2;2;225;"Munida rugosa";107160;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107160";"Munida rugosa";"(J.C. Fabricius, 1775)";"accepted";NA;220;"Species";107160;"Munida rugosa";"(J.C. Fabricius, 1775)";106835;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Munididae";"Munida";"WoRMS (2021). Munida rugosa (J.C. Fabricius, 1775). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107160 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107160";1;NA;NA;NA;0;"exact";"2020-12-07T15:09:25.150Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Anomura";NA;"Galatheoidea";"Munididae";"Munida";"Munida rugosa";NA;NA;NA;NA;NA;NA;NA;NA
"226";"Munida rutllanti";4;1;3;2;2;2;2;2;2;226;"Munida rutllanti";107161;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107161";"Munida rutllanti";"Zariquiey Álvarez, 1952";"unaccepted";NA;220;"Species";107164;"Munida speciosa";"von Martens, 1878";106835;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Munididae";"Munida";"WoRMS (2021). Munida rutllanti Zariquiey Álvarez, 1952. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107161 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107161";1;NA;NA;NA;NA;"exact";"2019-05-10T08:19:12.590Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Anomura";NA;"Galatheoidea";"Munididae";"Munida";"Munida rutllanti";NA;NA;NA;NA;NA;NA;NA;NA
"227";"Musculus";2;2;4;4;2;3;2;3;1;227;"Musculus";138225;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=138225";"Musculus";"Röding, 1798";"accepted";NA;180;"Genus";138225;"Musculus";"Röding, 1798";510725;"Animalia";"Mollusca";"Bivalvia";"Mytilida";"Mytilidae";"Musculus";"MolluscaBase eds. (2021). MolluscaBase. Musculus Röding, 1798. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138225 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:138225";1;NA;NA;NA;NA;"exact";"2019-08-11T22:27:57.063Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";NA;"Mytilida";NA;NA;NA;"Mytiloidea";"Mytilidae";"Musculus";NA;"Pteriomorphia";NA;"Musculinae";NA;NA;NA;NA;NA
"228";"Mya arenaria";4;1;1;4;3;4;3;4;1;228;"Mya arenaria";140430;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=140430";"Mya arenaria";"Linnaeus, 1758";"accepted";NA;220;"Species";140430;"Mya arenaria";"Linnaeus, 1758";138211;"Animalia";"Mollusca";"Bivalvia";"Myida";"Myidae";"Mya";"MolluscaBase eds. (2021). MolluscaBase. Mya arenaria Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140430 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:140430";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Myida";NA;NA;NA;"Myoidea";"Myidae";"Mya";"Mya arenaria";"Heteroconchia";"Euheterodonta";NA;NA;NA;NA;NA;NA
"229";"Mya truncata";3;1;2;4;3;4;3;4;1;229;"Mya truncata";140431;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=140431";"Mya truncata";"Linnaeus, 1758";"accepted";NA;220;"Species";140431;"Mya truncata";"Linnaeus, 1758";138211;"Animalia";"Mollusca";"Bivalvia";"Myida";"Myidae";"Mya";"MolluscaBase eds. (2021). MolluscaBase. Mya truncata Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140431 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:140431";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Myida";NA;NA;NA;"Myoidea";"Myidae";"Mya";"Mya truncata";"Heteroconchia";"Euheterodonta";NA;NA;NA;NA;NA;NA
