Phyllum;Class;Order;Family;Genus;Taxon;Mobility;Fragility;Position;Size;Feeding mode;VME;sp_vulne_ospar;Longevity;Larval development
Cnidaria;Anthozoa;Actiniaria;Actiniidae;Actinia;Actinia equina;3;2;3;3;1;2;2;4;
Cnidaria;Anthozoa;Actiniaria;Actiniidae;Actinia;Actinia fragacea;3;2;3;3;1;2;2;4;
Cnidaria;Anthozoa;Actiniaria;;;Actiniaria;3;2;2;3;1;2;2;4;
Cnidaria;Anthozoa;Actiniaria;Actiniidae;;Actiniidae;3;2;3;3;1;2;2;4;
Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Adamsia;Adamsia carciniopados;3;2;3;3;1;2;2;;1
Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Adamsia;Adamsia palliata;1;2;2;0;1;2;2;;1
Porifera;Demospongiae;Hadromerida;Hemiasterellidae;Adreus;Adreus;3;3;3;3;3;2;2;;
Porifera;Demospongiae;Hadromerida;Hemiasterellidae;Adreus;Adreus fascicularis;3;3;3;3;3;2;2;;
Arthropoda;Malacostraca;Decapoda;Crangonidae;Aegaeon;Aegaeon;0;2;3;0;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Crangonidae;Aegaeon;Aegaeon cataphractus;0;2;3;0;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Crangonidae;Aegaeon;Aegaeon lacazei;0;2;3;0;1;2;2;;
Mollusca;Gastropoda;Nudibranchia;Aeolidiidae;Aeolidia;Aeolidia papillosa;1;2;2;2;1;2;2;1;1
Mollusca;Gastropoda;Nudibranchia;Aeolidiidae;Aeolidiella;Aeolidiella;1;2;2;2;1;2;2;1;1
Mollusca;Bivalvia;Pectinoida;Pectinidae;Aequipecten;Aequipecten opercularis;0;1;2;2;3;2;2;3;1
Mollusca;Gastropoda;Cephalaspidea;Aglajidae;Aglaja;Aglaja tricolorata;1;2;2;0;1;2;2;;
Annelida;Polychaeta;Phyllodocida;Nepthyidae;Aglaophamus;Aglaophamus pulcher;1;0;1;2;1;2;2;;
Cnidaria;Hydrozoa;Leptothecata;Aglaopheniidae;Aglaophenia;Aglaophenia;3;3;3;3;3;2;2;;
Cnidaria;Hydrozoa;Leptothecata;Aglaopheniidae;Aglaophenia;Aglaophenia pluma;3;3;3;3;3;2;2;;
Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium;3;3;3;2;3;2;2;3;
Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium diaphanum;3;3;3;2;3;2;2;3;
Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium gelatinosum;3;3;3;2;3;2;2;3;
Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium parasiticum;3;3;3;2;3;2;2;3;
Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Alcyonium;Alcyonium;3;3;3;3;3;2;2;4;
Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Alcyonium;Alcyonium digitatum;3;3;3;3;3;2;2;4;
Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Alcyonium;Alcyonium glomeratum;3;3;3;3;3;2;2;4;
Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Alcyonium;Alcyonium palmatum;3;3;3;3;3;4;2;4;
Mollusca;Cephalopoda;Myopsida;Loliginidae;Alloteuthis;Alloteuthis;0;2;3;3;1;2;2;;
Mollusca;Cephalopoda;Myopsida;Loliginidae;Alloteuthis;Alloteuthis media;0;2;3;3;1;2;2;;
Mollusca;Cephalopoda;Myopsida;Loliginidae;Alloteuthis;Alloteuthis subulata;0;1;3;3;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Alpheidae;;Alpheidae;1;2;2;0;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus;1;2;2;0;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus glaber;1;2;2;0;1;2;2;2;1
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus macrocheles;1;2;2;0;1;2;2;;
Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;Ampelisca brevicornis;0;2;1;0;1;2;2;3;3
Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;Ampelisca diadema;0;2;1;0;1;2;2;3;3
Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;Ampelisca spinipes;0;2;1;0;1;2;2;;
Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;Ampelisca tenuicornis;0;2;1;0;1;2;2;3;3
Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;Ampelisca typica;0;2;1;0;1;2;2;3;3
Annelida;Polychaeta;Terebellida;Ampharetidae;Ampharete;Ampharete;2;0;1;0;1;2;2;2;3
Annelida;Polychaeta;Terebellida;Ampharetidae;Ampharete;Ampharete acutifrons;2;0;1;0;1;2;2;3;3
Annelida;Polychaeta;Terebellida;Ampharetidae;Ampharete;Ampharete lindstroemi;2;0;1;0;1;2;2;3;3
Arthropoda;Hexanauplia;Sessilia;Balanidae;Amphibalanus;Amphibalanus amphitrite;3;3;2;0;3;2;2;2;1
Annelida;Polychaeta;Terebellida;Ampharetidae;Amphicteis;Amphicteis sarsi;2;0;1;2;1;2;2;2;3
Echinodermata;Ophiuroidea;Amphilepidida;Amphiuridae;Amphipholis;Amphipholis squamata;2;3;1;0;1;2;2;;
Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Amphisbetia;Amphisbetia operculata;3;3;3;3;3;2;2;;
Annelida;Polychaeta;Terebellida;Terebellidae;Amphitrite;Amphitrite cirrata;2;0;1;2;1;2;2;3;1
Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphiura;Amphiura (Ophiopeltis) securigera;1;3;1;2;1;2;2;;
Echinodermata;Ophiuroidea;Amphilepida;Amphiuridae;Amphiura;Amphiura chiajei;1;3;1;0;1;2;2;3;1
Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphiura;Amphiura filiformis;2;3;1;2;3;2;2;3;1
Arthropoda;Malacostraca;Amphipoda;Ampithoidae;Ampithoe;Ampithoe rubricata;1;0;2;0;1;2;2;;
Mollusca;Bivalvia;Arcida;Arcidae;Anadara;Anadara gibbosa;2;0;1;0;3;2;2;;
Arthropoda;Malacostraca;Decapoda;Pisidae;Anamathia;Anamathia rissoana;1;2;2;2;1;2;2;2;
Arthropoda;Malacostraca;Decapoda;Paguridae;Anapagurus;Anapagurus;1;1;2;0;1;2;2;3;1
Arthropoda;Malacostraca;Decapoda;Paguridae;Anapagurus;Anapagurus chiroacanthus;1;1;2;0;1;2;2;3;1
Arthropoda;Malacostraca;Decapoda;Paguridae;Anapagurus;Anapagurus hyndmanni;1;1;2;0;1;2;2;3;1
Arthropoda;Malacostraca;Decapoda;Paguridae;Anapagurus;Anapagurus laevis;1;1;2;0;1;2;2;3;1
Mollusca;Cephalopoda;Oegopsida;Onychoteuthidae;Ancistroteuthis;Ancistroteuthis lichtensteinii;0;2;3;3;1;2;2;;
Cnidaria;Anthozoa;Actiniaria;Andresiidae;Andresia;Andresia;3;1;3;3;1;2;2;;
Arthropoda;Malacostraca;Amphipoda;Maeridae;Animoceradocus;Animoceradocus semiserratus;1;0;2;0;1;2;2;;
Annelida;;;;;Annelida;2;2;2;2;1;2;2;3;3
Mollusca;Bivalvia;Pectinoida;Anomiidae;Anomia;Anomia;3;3;2;0;3;2;2;4;
Mollusca;Bivalvia;Pectinoida;Anomiidae;Anomia;Anomia ephippium;3;3;2;0;3;2;2;4;
Mollusca;Bivalvia;Pectinoida;Anomiidae;;Anomiidae;3;3;2;0;3;2;2;4;
Echinodermata;Asteroidea;Valvatida;Asterinidae;Anseropoda;Anseropoda placenta;1;2;2;3;1;2;2;3;1
Mollusca;Scaphopoda;Dentaliida;Dentaliidae;Antalis;Antalis;2;1;0;2;1;2;2;3;1
Mollusca;Scaphopoda;Dentaliida;Dentaliidae;Antalis;Antalis entalis;2;1;0;0;1;2;2;;1
Mollusca;Scaphopoda;Dentaliida;Dentaliidae;Antalis;Antalis vulgaris;2;1;0;2;1;2;2;;
Echinodermata;Crinoidea;Comatulida;Antedonidae;Antedon;Antedon;1;3;3;3;3;2;2;;1
Echinodermata;Crinoidea;Comatulida;Antedonidae;Antedon;Antedon bifida;1;3;3;3;3;2;2;2;1
Echinodermata;Crinoidea;Comatulida;Antedonidae;Antedon;Antedon petasus;1;3;3;2;3;2;2;;1
Echinodermata;Crinoidea;Comatulida;Antedonidae;;Antedonidae;1;3;3;2;3;2;2;;
Cnidaria;Anthozoa;;;;Anthozoa;3;2;3;3;3;2;2;;
Arthropoda;Malacostraca;Isopoda;Anthuridae;Anthura;Anthura gracilis;1;1;2;0;1;2;2;2;3
Annelida;Polychaeta;Spionida;Spionidae;Aonides;Aonides oxycephala;1;0;1;2;1;2;2;2;1
;Polychaeta;Terebellida;Cirratulidae;Aphelochaeta;Aphelochaeta;1;0;1;3;1;2;2;;
Annelida;Polychaeta;Terebellida;Cirratulidae;Aphelochaeta;Aphelochaeta marioni;1;0;1;3;1;2;2;;
Annelida;Polychaeta;Phyllodocida;Aphroditidae;Aphrodita;Aphrodita aculeata;1;1;2;3;1;2;2;3;1
Chordata;Ascidiacea;Aplousobranchia;Polyclinidae;Aplidium;Aplidium;3;2;2;3;3;2;2;;
Mollusca;Gastropoda;Anaspidea;Aplysiidae;Aplysia;Aplysia;1;2;2;3;1;2;2;3;
