"code_trait";"Annee";"depth";"Trait";"Lat";"Lon";"risk"
"3185";"MEDITS_2018_C408_24";2018;325.2540984;"C408";42.95335;9.61565;0
"3267";"MEDITS_2014_C408_1";2014;335;"C408";42.95875;9.625416667;0
"3629";"MEDITS_2018_C505_2";2018;474.4615385;"C505";42.8448;9.7136;0.515419363975525
"3648";"MEDITS_2018_C503_14";2018;550.601626;"C503";42.0871;9.7375;0.0309279039502144
"3660";"MEDITS_2017_C408_1";2017;339.5;"C408";42.94299723;9.611749776;0
"3670";"MEDITS_2012_G405_87";2012;428;"G405";42.67291667;4.135916667;0
"3839";"MEDITS_2014_C407_3";2014;284;"C407";42.66083333;9.59075;0.17473791539669
"3840";"MEDITS_2013_C501_12";2013;465;"C501";41.61241667;9.533666667;1.74392783641815
"3862";"MEDITS_2012_C408_1";2012;337.5;"C408";42.95925;9.618083333;0
"3875";"MEDITS_2014_C501_9";2014;466;"C501";41.60316667;9.54325;3.23481464385986
"3891";"MEDITS_2018_C403_13";2018;395.3442623;"C403";42.0171;9.65615;0.5524080991745
"3913";"MEDITS_2018_C501_8";2018;475.2926829;"C501";41.59495;9.55155;3.23481464385986
"3936";"MEDITS_2018_C402_7";2018;462.9674797;"C402";41.7784;9.49065;2.02909994125366
"4015";"MEDITS_2012_C503_17";2012;557.5;"C503";42.07283333;9.73425;0.0243702344596386
"4016";"MEDITS_2018_G406_30";2018;254.6803279;"G406";42.8711;4.67625;0.453981190919876
"4041";"MEDITS_2014_C401_8";2014;376;"C401";41.54716667;9.551333333;0.0526677556335926
"4061";"MEDITS_2015_C302_8";2015;84.5;"C302";41.94691667;9.565166667;0.432062745094299
"4101";"MEDITS_2013_C301_13";2013;109.5;"C301";41.6245;9.468416667;2.03123092651367
"4102";"MEDITS_2018_C401_5";2018;369.8861789;"C401";41.54375;9.5526;0.0526677556335926
"4195";"MEDITS_2015_G407_26";2015;574.5;"G407";42.99758333;5.115;0
"4481";"MEDITS_2018_C502_10";2018;462.2601626;"C502";41.9464;9.6179;3.33019781112671
"4525";"MEDITS_2013_G303_65";2013;133.5;"G303";42.8325;4.262;0.688182890415192
"4745";"MEDITS_2014_C503_22";2014;555.5;"C503";42.07616667;9.734083333;0.0309279039502144
"5341";"MEDITS_2018_C405_20";2018;340.9593496;"C405";42.3829;9.66535;0.570772469043732
"5549";"MEDITS_2012_C502_11";2012;498;"C502";41.92841667;9.614833333;2.16265058517456
"6213";"MEDITS_2013_C503_8";2013;572;"C503";42.064;9.731833333;0.0243702344596386
"6216";"MEDITS_2018_C404_17";2018;482.1900826;"C404";42.3481;9.68835;3.52641773223877
