"code_trait";"Annee";"depth";"Trait";"Lat";"Lon";"risk"
"121";"MEDITS_2013_G308_79";2013;109.5;"G308";43.05808333;4.8445;2.05671691894531
"122";"MEDITS_2016_G207_72";2016;87.5;"G207";42.75555013;3.327000173;6.84828662872314
"123";"MEDITS_2014_G223_71";2014;93;"G223";43.21275;4.108916667;4.21512746810913
"124";"MEDITS_2014_G309_27";2014;113.5;"G309";43.14616667;4.982416667;4.80743598937988
"125";"MEDITS_2017_G224_31";2017;87;"G224";43.21745199;4.168400065;5.24850654602051
"126";"MEDITS_2015_C201_2";2015;90;"C201";41.48691667;9.46725;1.00371384620667
"127";"MEDITS_2013_G229_80";2013;75.5;"G229";43.166;4.428083333;5.34447288513184
"128";"MEDITS_2015_G103_71";2015;48;"G103";42.74566667;3.140416667;20.689546585083
"129";"MEDITS_2013_G223_81";2013;90;"G223";43.20808333;4.100833333;2.68479585647583
"130";"MEDITS_2012_G221_83";2012;97;"G221";43.07941667;4.007333333;6.37263345718384
"131";"MEDITS_2012_G220_74";2012;94;"G220";43.213;3.923666667;4.7206392288208
"132";"MEDITS_2014_G213_60";2014;91;"G213";43.04325;3.64225;3.24978446960449
"133";"MEDITS_2018_G202_78";2018;81.82539683;"G202";42.71815;3.24935;9.19649505615234
"134";"MEDITS_2012_G210_57";2012;90;"G210";43.03916667;3.561166667;2.53022432327271
"135";"MEDITS_2015_G219_29";2015;69;"G219";43.34475;3.90725;6.52092456817627
"136";"MEDITS_2013_G217_72";2013;95;"G217";43.09341667;3.871083333;4.4804310798645
"137";"MEDITS_2015_G217_30";2015;95.5;"G217";43.09925;3.869166667;4.4804310798645
"138";"MEDITS_2015_G214_31";2015;93;"G214";42.90091667;3.679916667;2.82841086387634
"139";"MEDITS_2018_C201_4";2018;88.11111111;"C201";41.48885;9.466;1.00371384620667
"140";"MEDITS_2013_G224_82";2013;87;"G224";43.21775;4.162583333;5.24850654602051
"141";"MEDITS_2014_G221_80";2014;98;"G221";43.08225;4.002;6.37263345718384
"142";"MEDITS_2018_G223_57";2018;89.80952381;"G223";43.2121;4.0993;4.34172916412354
"143";"MEDITS_2015_G112_85";2015;39;"G112";43.31116667;4.53975;11.0660972595215
"144";"MEDITS_2014_G208_61";2014;94.5;"G208";42.84333333;3.4475;3.63550567626953
"145";"MEDITS_2018_G101_74";2018;29.9516129;"G101";42.96125;3.09115;0.203544124960899
"146";"MEDITS_2016_G227_28";2016;68;"G227";43.25409749;4.299700165;7.13235759735107
"147";"MEDITS_2017_G206_67";2017;85;"G206";42.80575358;3.31815033;7.53041172027588
"148";"MEDITS_2018_G207_89";2018;83.78125;"G207";42.75315;3.32285;8.94357013702393
"149";"MEDITS_2014_G205_66";2014;75;"G205";42.90883333;3.303833333;4.43464088439941
"150";"MEDITS_2016_G224_55";2016;88.5;"G224";43.21720378;4.165999858;5.24850654602051
"151";"MEDITS_2012_G109_53";2012;32;"G109";43.43525;4.048916667;14.1827745437622
"152";"MEDITS_2018_G228_63";2018;63.90322581;"G228";43.2479;4.4013;7.3056902885437
"153";"MEDITS_2016_G205_48";2016;74;"G205";42.90875244;3.305050151;4.43464088439941
"154";"MEDITS_2017_G229_61";2017;78.5;"G229";43.16019694;4.431800079;5.34447288513184
"155";"MEDITS_2016_G210_43";2016;89;"G210";43.04045003;3.555400085;4.44113731384277
"156";"MEDITS_2018_G206_88";2018;80.93548387;"G206";42.8161;3.3175;6.58019638061523
"157";"MEDITS_2013_G221_73";2013;96;"G221";43.0815;4.004166667;6.37263345718384
"158";"MEDITS_2013_G220_31";2013;91.5;"G220";43.21525;3.914583333;4.7206392288208
"159";"MEDITS_2015_G227_28";2015;71.5;"G227";43.24966667;4.315416667;6.35913705825806
"160";"MEDITS_2014_G211_82";2014;84.5;"G211";43.09483333;3.589916667;5.01997947692871
"161";"MEDITS_2012_C202_18";2012;74.5;"C202";41.83933333;9.451;1.07717502117157
"162";"MEDITS_2015_G221_75";2015;98.5;"G221";43.08558333;3.99775;6.37263345718384
"163";"MEDITS_2018_G219_36";2018;61.46774194;"G219";43.3441;3.9065;6.52092456817627
"164";"MEDITS_2015_G226_83";2015;88;"G226";43.1765;4.283333333;5.28695631027222
"165";"MEDITS_2018_G217_39";2018;93.69230769;"G217";43.09555;3.8703;4.4804310798645
"166";"MEDITS_2018_G103_76";2018;45.70967742;"G103";42.7496;3.13975;20.689546585083
"167";"MEDITS_2015_G306_33";2015;114.5;"G306";43.03358333;4.536083333;5.26149606704712
"168";"MEDITS_2018_G211_51";2018;81.43548387;"G211";43.1054;3.5895;5.01997947692871
"169";"MEDITS_2018_G227_62";2018;69.85714286;"G227";43.24995;4.3072;7.13235759735107
"170";"MEDITS_2014_G216_81";2014;96;"G216";43.02058333;3.833333333;5.06149291992188
"171";"MEDITS_2017_G219_34";2017;65;"G219";43.34534912;3.903749847;6.52092456817627
"172";"MEDITS_2013_G219_30";2013;71.5;"G219";43.3425;3.908666667;6.34354162216187
"173";"MEDITS_2014_C205_5";2014;86;"C205";42.35325;9.604;0.0465686358511448
"174";"MEDITS_2018_G304_34";2018;125.2;"G304";42.876;4.40225;2.11661624908447
"175";"MEDITS_2016_G216_63";2016;95;"G216";43.0213501;3.833150228;5.06149291992188
"177";"MEDITS_2017_G402_81";2017;316.5;"G402";42.59014893;3.681299845;0.0177357234060764
"178";"MEDITS_2018_G220_37";2018;91.17460317;"G220";43.21625;3.91435;4.7206392288208
"180";"MEDITS_2013_G406_75";2013;213.5;"G406";42.86016667;4.6795;0.453981190919876
"181";"MEDITS_2017_G212_49";2017;100.5;"G212";42.67364909;3.591250102;5.22948598861694
"183";"MEDITS_2017_G208_52";2017;91.5;"G208";42.84744873;3.422949727;4.5770149230957
"184";"MEDITS_2018_G407_25";2018;511.2131148;"G407";42.99975;5.11585;0
"185";"MEDITS_2018_G402_43";2018;314.7786885;"G402";42.58625;3.6955;0
"186";"MEDITS_2016_G215_79";2016;97.5;"G215";42.88384603;3.804100291;1.61518180370331
"187";"MEDITS_2016_G201_76";2016;78.5;"G201";42.5944458;3.201350149;6.82242298126221
"188";"MEDITS_2017_G213_53";2017;89;"G213";43.04474691;3.663800049;4.04673957824707
"189";"MEDITS_2015_G406_34";2015;293.5;"G406";42.8585;4.689333333;0.453981190919876
"190";"MEDITS_2017_G406_45";2017;289;"G406";42.86110026;4.685050201;0.453981190919876
"192";"MEDITS_2017_G201_51";2017;76;"G201";42.59335124;3.19960022;6.82242298126221
"193";"MEDITS_2015_C301_5";2015;111;"C301";41.63;9.466416667;2.02304124832153
"194";"MEDITS_2017_G105_89";2017;38;"G105";43.12804769;3.339800008;7.17482900619507
"195";"MEDITS_2016_G214_78";2016;93.5;"G214";42.90169678;3.6875501;2.82841086387634
"196";"MEDITS_2016_G302_40";2016;112;"G302";42.60609945;3.573650106;0.4536954164505
"197";"MEDITS_2016_G206_77";2016;84.5;"G206";42.81185303;3.319100189;6.58019638061523
"199";"MEDITS_2016_G218_81";2016;95;"G218";42.98450114;3.888750203;6.80727005004883
"200";"MEDITS_2016_G217_80";2016;96;"G217";43.09840088;3.870099894;4.4804310798645
"201";"MEDITS_2017_G404_48";2017;419.5;"G404";42.77115072;3.908900452;1.18202495574951
"202";"MEDITS_2017_G106_88";2017;38.5;"G106";43.2194987;3.547600047;11.4665422439575
"203";"MEDITS_2016_G406_36";2016;228;"G406";42.85974935;4.687850189;0.453981190919876
"205";"MEDITS_2017_G209_50";2017;96;"G209";42.70425212;3.533650208;3.99400448799133
"206";"MEDITS_2016_G306_37";2016;107.5;"G306";43.03769938;4.530450185;5.26149606704712
"207";"MEDITS_2017_G405_77";2017;437;"G405";42.675;4.125;0.0344409830868244
"208";"MEDITS_2017_G111_27";2017;31.5;"G111";43.34699707;4.340999858;11.8551931381226
"209";"MEDITS_2018_G404_81";2018;426.1311475;"G404";42.7715;3.90825;0.914869070053101
"210";"MEDITS_2015_G404_65";2015;412;"G404";42.77883333;3.90575;1.34395170211792
"217";"MEDITS_2015_G215_32";2015;96.5;"G215";42.88375;3.805666667;1.61518180370331
"219";"MEDITS_2015_G302_37";2015;109.5;"G302";42.61433333;3.570333333;2.69395971298218
"222";"MEDITS_2013_G202_61";2013;83.5;"G202";42.70991667;3.248416667;9.19649505615234
"229";"MEDITS_2016_G109_26";2016;30.5;"G109";43.43430176;4.052549744;14.1827745437622
"234";"MEDITS_2013_G227_87";2013;69;"G227";43.25108333;4.310833333;6.35913705825806
"237";"MEDITS_2016_G230_24";2016;68.5;"G230";43.25650228;4.73100001;5.17835664749146
"240";"MEDITS_2015_G210_74";2015;89.5;"G210";43.04175;3.557833333;4.37290096282959
"241";"MEDITS_2015_G503_63";2015;693;"G503";42.68216667;3.96525;0
"244";"MEDITS_2018_G306_32";2018;105.9354839;"G306";43.0422;4.5245;3.17301654815674
"246";"MEDITS_2014_G209_46";2014;98;"G209";42.70458333;3.533416667;3.99400448799133
"248";"MEDITS_2015_G405_61";2015;438.5;"G405";42.67091667;4.13425;0
"251";"MEDITS_2015_G108_48";2015;25;"G108";43.45908333;3.93575;20.1414489746094
"253";"MEDITS_2017_G109_30";2017;28.5;"G109";43.43975016;4.040899913;14.3618488311768
"256";"MEDITS_2013_G110_85";2013;24.5;"G110";43.41283333;4.2485;20.7722263336182
"257";"MEDITS_2013_G109_83";2013;29;"G109";43.4375;4.044666667;14.1827745437622
"258";"MEDITS_2017_G207_66";2017;86.5;"G207";42.76220296;3.33164978;6.49904012680054
"259";"MEDITS_2014_G232_84";2014;93.5;"G232";43.18316667;3.826833333;6.00406694412231
"260";"MEDITS_2016_G111_25";2016;32.5;"G111";43.34569906;4.344000244;11.93101978302
"261";"MEDITS_2015_G402_38";2015;323;"G402";42.58733333;3.705166667;0
"265";"MEDITS_2017_G221_59";2017;98.5;"G221";43.09124349;3.985700226;5.17009496688843
"272";"MEDITS_2012_G404_26";2012;398;"G404";42.77858333;3.906666667;1.34395170211792
"273";"MEDITS_2015_G231_87";2015;98.5;"G231";43.17558333;4.7865;3.51359462738037
"278";"MEDITS_2013_G306_34";2013;112.5;"G306";43.03275;4.537666667;5.26149606704712
"279";"MEDITS_2017_G103_68";2017;49;"G103";42.7452474;3.140649923;20.689546585083
"280";"MEDITS_2013_G222_74";2013;91.5;"G222";42.98766667;4.025166667;6.01661491394043
"283";"MEDITS_2017_G215_74";2017;96;"G215";42.87755127;3.807249959;1.61518180370331
"284";"MEDITS_2016_G211_62";2016;85.5;"G211";43.09175212;3.590149689;5.01997947692871
"286";"MEDITS_2015_G502_44";2015;668;"G502";42.57625;3.8535;0
"289";"MEDITS_2015_G110_51";2015;26.5;"G110";43.41233333;4.250083333;20.7722263336182
"290";"MEDITS_2013_G232_71";2013;91.5;"G232";43.18333333;3.82675;6.00406694412231
"291";"MEDITS_2017_G210_86";2017;87;"G210";43.04389648;3.545149994;4.37290096282959
"293";"MEDITS_2017_G301_70";2017;115;"G301";42.46990153;3.356749725;1.1557457447052
"295";"MEDITS_2017_G501_82";2017;469.5;"G501";42.51859538;3.620700073;0.00797677785158157
"296";"MEDITS_2017_G302_80";2017;111.5;"G302";42.59799805;3.575650024;0.39744359254837
"298";"MEDITS_2015_G213_68";2015;93;"G213";43.0445;3.659083333;4.04673957824707
"300";"MEDITS_2015_G205_57";2015;75;"G205";42.90925;3.306416667;4.43464088439941
"301";"MEDITS_2013_C303_20";2013;106;"C303";42.25008333;9.634;0
"302";"MEDITS_2013_G230_27";2013;69.5;"G230";43.24933333;4.722083333;4.88958120346069
"304";"MEDITS_2014_G301_43";2014;114.5;"G301";42.46841667;3.35625;1.1557457447052
"305";"MEDITS_2014_G304_73";2014;112.5;"G304";42.87333333;4.404166667;1.99251294136047
"307";"MEDITS_2016_G505_38";2016;513;"G505";42.80284831;4.705799866;0.0818491876125336
"315";"MEDITS_2015_G301_40";2015;115;"G301";42.47033333;3.356583333;1.1557457447052
"316";"MEDITS_2018_G230_65";2018;70.390625;"G230";43.24625;4.7234;4.88958120346069
"317";"MEDITS_2014_G112_54";2014;40;"G112";43.30858333;4.540333333;11.0660972595215
"318";"MEDITS_2018_G109_69";2018;29.55555556;"G109";43.4353;4.04725;14.1827745437622
"320";"MEDITS_2015_G212_64";2015;104;"G212";42.66941667;3.592;5.35741424560547
"321";"MEDITS_2018_G112_66";2018;38;"G112";43.31045;4.53925;11.0660972595215
"322";"MEDITS_2017_G401_72";2017;347;"G401";42.47354736;3.591250356;0
"323";"MEDITS_2017_G102_64";2017;40;"G102";42.62650146;3.112599945;29.0389938354492
"325";"MEDITS_2014_G231_52";2014;98;"G231";43.17591667;4.780666667;3.51359462738037
"330";"MEDITS_2014_G230_55";2014;70.5;"G230";43.25841667;4.73275;5.44698476791382
"332";"MEDITS_2015_G207_73";2015;87;"G207";42.75841667;3.32975;6.49904012680054
"336";"MEDITS_2018_G301_46";2018;110.852459;"G301";42.4771;3.3564;1.77874314785004
"337";"MEDITS_2017_G232_33";2017;91;"G232";43.18715007;3.826899719;6.00406694412231
"342";"MEDITS_2016_G102_73";2016;40;"G102";42.61660156;3.113300069;29.1455478668213
